State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Uttar Pradesh,Lucknow,Banthara,Rice,Coarse,FAQ,2025-09-23,3009,3029,3019
Uttar Pradesh,Maharajganj,Anandnagar,Rice,III,FAQ,2025-09-23,2800,3200,3000
Uttar Pradesh,Meerut,Sardhana,Apple,Kasmir/Shimla - II,Large,2025-09-23,2500,2550,2550
Uttar Pradesh,Meerut,Sardhana,Apple,Kasmir/Shimla - II,Small,2025-09-23,2500,2550,2550
Uttrakhand,Haridwar,Manglaur,Papaya,Other,Medium,2025-09-23,1000,1700,1300
Uttrakhand,Haridwar,Roorkee,Apple,Other,Large,2025-09-23,3000,5000,4000
Uttrakhand,UdhamSinghNagar,Rudrapur,Apple,Other,Medium,2025-09-23,5000,7000,6000
Uttrakhand,UdhamSinghNagar,Rudrapur,Papaya,Other,Medium,2025-09-23,2500,4000,3000
West Bengal,Medinipur(E),Tamluk (Medinipur E),Rice,Fine,FAQ,2025-09-23,3900,4100,4000
West Bengal,Uttar Dinajpur,Raiganj,Rice,Fine,FAQ,2025-09-23,4000,4200,4100
Gujarat,Chhota Udaipur,Kalediya,Cotton,Shanker 6 (B) 30mm FIne,FAQ,2025-09-23,6850,7075,6950
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,Hybrid Red (Cattle Feed),Non-FAQ,2025-09-23,1900,2030,2030
Haryana,Mahendragarh-Narnaul,Narnaul,Pomegranate,Pomogranate,Medium,2025-09-23,6000,12000,8000
Haryana,Rewari,Rewari,Apple,Apple,Medium,2025-09-23,4000,14000,9000
Himachal Pradesh,Kangra,Dharamshala,Banana,Other,Medium,2025-09-23,4500,5000,4750
Himachal Pradesh,Kangra,Dharamshala,Pomegranate,Other,Medium,2025-09-23,12000,13000,12500
Himachal Pradesh,Kangra,Kangra(Baijnath),Banana,Banana - Ripe,Medium,2025-09-23,3500,3600,3600
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Banana,Banana - Ripe,Medium,2025-09-23,4200,5000,4600
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Apple,American,Medium,2025-09-23,2500,7000,5000
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pomegranate,Other,Medium,2025-09-23,6000,11000,8000
Himachal Pradesh,Solan,Solan(Nalagarh),Banana,Other,Medium,2025-09-23,2900,3400,3200
